q1_completions,prior_before_q1,ever_completions,tutored,multi_interest,enroll_date,module12_date,exposure_end,exposure_days_q1,offset_log_days
5,0,5,0,0,4/16/2025 16:25,,59:59.0,76,4.33073334
7,0,7,1,0,4/11/2025 17:28,,59:59.0,81,4.394449155
9,1,12,1,0,12/11/2024 16:38,14:18.6,14:18.6,55,4.007333185
0,0,0,0,0,5/9/2025 14:45,,59:59.0,53,3.970291914
0,0,0,0,0,4/11/2025 17:28,,59:59.0,81,4.394449155
0,0,0,0,0,3/21/2025 14:40,,59:59.0,102,4.624972813
1,0,1,0,0,12/2/2024 16:46,,59:59.0,181,5.198497031
0,0,0,0,0,11/27/2024 16:39,,59:59.0,181,5.198497031
0,0,0,0,0,3/14/2025 14:41,,59:59.0,109,4.691347882
0,0,0,0,0,1/31/2025 17:33,,59:59.0,151,5.017279837
0,0,0,0,0,4/30/2025 16:37,,59:59.0,62,4.127134385
1,0,1,1,0,3/5/2025 16:30,,59:59.0,118,4.770684624
1,0,1,0,0,12/5/2024 16:40,,59:59.0,181,5.198497031
1,0,1,0,0,3/28/2025 17:30,,59:59.0,95,4.553876892
0,0,0,0,0,1/28/2025 8:23,,59:59.0,154,5.036952602
6,0,6,0,0,4/4/2025 17:29,,59:59.0,88,4.477336814
0,0,0,0,0,12/19/2024 16:46,,59:59.0,181,5.198497031
0,0,0,0,0,5/7/2025 16:33,,59:59.0,55,4.007333185
1,0,1,1,0,1/29/2025 16:44,,59:59.0,153,5.030437921
0,0,0,0,0,11/27/2024 19:11,,59:59.0,181,5.198497031
0,0,0,0,0,3/14/2025 17:30,,59:59.0,109,4.691347882
7,0,7,1,0,3/7/2025 17:25,,59:59.0,116,4.753590191
0,1,1,0,0,11/6/2024 16:42,,59:59.0,181,5.198497031
1,0,1,0,0,2/26/2025 16:25,,59:59.0,125,4.828313737
1,0,1,0,0,3/14/2025 19:19,,59:59.0,109,4.691347882
3,0,3,0,0,1/15/2025 16:34,,59:59.0,167,5.117993812
0,0,0,0,0,3/12/2025 16:31,,59:59.0,111,4.709530201
6,0,7,0,0,4/30/2025 16:48,,59:59.0,62,4.127134385
1,0,1,0,0,5/7/2025 16:32,,59:59.0,55,4.007333185
